Task,Rule
AboveBelow1,"Erase all objects or pixels below horizontal divider line"
AboveBelow2,"Erase all objects or pixels above the green square. An object/pixel is above the green square if its bottomost row is above the bottomost row of the green square."
AboveBelow3,"Move the horizontal line above every square vertically to rest on top of the shape. A segment/crown is considered above a square if at least one of its corners is directly above the corresponding corner of the square"
AboveBelow4,"Color leftmost pixel of shorter horizontal lines above the longest horizontal line with the color of the line. Color rightmost pixel of shorter horizontal lines below the longest horizontal line with color of the longest horizontal line. "
AboveBelow5,"Take color of different colored pixels in each vertical/diagonal line, and color all pixels in the line above that pixel with that color."
AboveBelow6,"Take color of differently colored lines in each shape, and color cells in the object directly below those differently colored lines with that color. "
AboveBelow7,"Move each object resting above a box to the corresponding position immediately below the box."
AboveBelow8,"Erase the colored bands and keep only the portion of the winding cyan ""snake"" below the green band."
AboveBelow9,"Erase pixels below the (solid or dotted) horizontal line that that spans the entire width of the grid. "
AboveBelow10,"Fill in pixels below every line and every remaining part of the rows the line spans  the same color as that line. The remaining part of each row is only applicable to diagonal lines and the remaing part is decided by the direction ofthe diagonal. "
Center1, "For every hollow shape in the grid, color its center cell (in its interior/hollow region)the same color as its perimeter. "
Center2, "Extract center pixel(s) of the grid."
Center3, "Extract the center object from the largest, hollow polygon "
Center4, "Erase pixel or object that includes the center cells of the grid. "
Center5, "For any overlapping, perpendicular pairs of lines, move the shorter line that is underneath the longer line such that it is beneath the center of the longer line. "
Center6, "Move the smallest shape that is different in color from the largest closed shape in the grid  to the center of the largest closed shape in the grid (the shape can be either hollow or filled) . "
Center7, "Extract center row from set of horizontal or vertical lines"
Center8, "For each line, move differently colored pixels placed at one of its ends to center of the line and extend each moved pixel by two pixels in the  direction perpendicular to line."
Center9, "For each pair of parallel lines of the same color, move single pixel in direction perpendicular to the lines to the space at the center (horizontal or vertical) of the pair of lines"
Center10, "For each pair of L-shapes, identical in size, with right angles facing each other, place a single blue pixel at the center of the space between them. "
CleanUp1, "Recolor noise pixels to fit striped pattern"
CleanUp2, "Recolor noise pixels the color of their surrounding cells (either the grid’s background color) or if they exist within a filled shape, then the color of that shape. "
CleanUp3, "Recolor noise pixels the color of their surrounding cells (either the grid’s background color) or if they exist within a filled shape, then the color of that shape. "
CleanUp4, "Remove noise pixels so that all hollow shapes have a uniform color boundary and the pixels inside or outside these rectangles are all the background color"
CleanUp5, "Remove noise pixels from background and repeating shapes that are connected and form a pattern"
CleanUp6, "Remove noise pixels from the background and symmetric shapes that are repeated. "
CleanUp7, "Remove filled rectangles from grid that overlap other shapes, and complete repeated shapes that were ""beneath"" each filled rectangle"
CleanUp8, "Remove noise pixels from grid, revealing diagonal arrangement of squares or diamonds. "
CleanUp9, "Remove noise pixels from background and from sides of hollow squares or diamonds, so that sides of hollow squares or diamonds have a uniform color or color scheme"
CleanUp10, "Remove noise pixels so that only shapes are two intersecting or T-shaped lines, each of which span the grid either horizontally, vertically, or diagonally"
CompleteShape1, "Preserve only the cross shape of complete intersecting rows and columns or intersecting diagonal lines in the grid.  Remove all other colored cells in the grid. "
CompleteShape2, "Complete every interrupted straight line along its full implied length, preserving the horizontal line's color or pattern at crossings."
CompleteShape3, "Complete the missing cells of every partial outline."
CompleteShape4, "Replace each pair of matching parallel lines with the other pair of sides of the rectangle or parallelogram they define, omitting the corner cells."
CompleteShape5, "Complete each L-shaped incomplete square by filling its missing corner with the paired color."
CompleteShape6, "Complete each partial square or rectangle using its existing color or pattern."
CompleteShape7,"Complete each partial square or rectangle using its existing color or pattern."
CompleteShape8,"Use the complete reference shape in the corner of the grid as a template to complete every partial translated copy, then erase the template."
CompleteShape9,"Fill in missing cells to turn each partial object into a complete regular shape."
CompleteShape10,"Complete each incomplete pyramid, filling any irregular gap in its base but leaving its large central hole unchanged."
Copy1,"Place an exact copy of the entire input grid immediately to its right."
Copy2,"Copy the external pattern into the center of the hollow frame. Leave the original pattern unchanged."
Copy3,"Use the complete pattern as a template to complete all of its partial, translated copies."
Copy4,"At every marker whose color matches a template's top-left corner, place a copy of the corresponding template with the marker at the copy's upper-left corner."
Copy5,"For each marker next to a shape, add one copy of that shape on the marker's side separated by a row or a column of background, expanding the grid as needed and removing the markers."
Copy6,"Copy the entire input once perpendicular to the alignment of its objects, separating the two copies with a row or column of background."
Copy7,"Copy the distinctive motif from one shape into the corresponding/analogous position on every matching shape."
Copy8,"Complete every partial compound object by copying the missing attached part from a complete template example."
Copy9,"Copy each source shape onto every matching marker such that the copy is centered on the marker."
Copy10,"Copy the frame of each complete framed object around every matching interior pattern that does not yet have an accompanying frame."
Count1,"Count the colored shapes and output the count as that many yellow cells in a six-cell black row, starting from the left."
Count2,"Count the straight sides of all hollow polygons and output one orange cell per side as a single row."
Count3,"Count the straight line segments and output one green cell per segment as a single row."
Count4,"Count the colors used, excluding the background color when one exists, and output one black cell per color as a single row."
Count5,"Count the background cells enclosed by all hollow shapes and output a black row of that total length."
Count6,"Count the noise cells inside all hollow shapes and output the count as that many yellow cells in a seven-cell black columm, starting from the top."
Count7,"Count the interrupting noise cells on all hollow-frames and output the count as that many red cells in a single column."
Count8,"Count the interrupting noise cells inside all filled shapes and output the count as that many red cells in a single column."
Count9,"Count all recognizable shapes, including any that are partially overlapped or occluded, and output one black cell per shape in a single row."
Count10,"Count the total number of layers in all pyramids and output one black cell per layer as a single row."
ExtendToBoundary1, "Extend a line from the center of a side of each object in the grid to the boundary of the grid, in the direction in which has the most empty space in the grid. "
ExtendToBoundary2, "For each filled square in the hollow region of a box or series of boxes (boxes within boxes), extend the square by coloring the vertical columns (on both ends) till you hit a box boundary. "
ExtendToBoundary3, "From each isolated square, extend an unbroken line of identical squares ending at (but not intersecting with) a line.  The unbroken line of pixels is perpendicular to the line."
ExtendToBoundary4, "For every two perpendicular colored line segments facing each other (either one being horizontal and the other vertical, or both being diagonal), extend one of them till it hits the other. The elongation must be chosen so that the line that is extended is able to be directly touch the other  without corners touching.  "
ExtendToBoundary5, "For each isolated filled square in the grid, extend each cell in the square on all four sides diagonally till it hits the boundary of the grid. "
ExtendToBoundary6, "Extend each colored cell not part of a shape that has width and length  2 or more diagonally upwards to the right till the diagonal either hits such a shape and cannot be extended further, otherwise extend till it hits the boundary of the grid. "
ExtendToBoundary7, "Extend the colored (non-grey and non-black) pixels in a horizontal or vertical manner towards the line until it is touched."
ExtendToBoundary8, "Extend every filled square inside each hollow shape in all four directions until it touches the surrounding shape boundary."
ExtendToBoundary9, "Extend every filled square in the grid in all four directions until it touches a surrounding hollow shape boundary or the boundary of the grid."
ExtendToBoundary10, "Extend the filled squares outside or on the boundary of each hollow shape, through the gap in the boundary of the shape till the extended line segment hits the boundary of that shape again . "
ExtractObjects1, "Extract the complete, connected shape from the grid, ignoring the single isolated colored pixels that populate the rest of the grid. "
ExtractObjects2, "Extract the single colored shape from the grid that is not of the background colors or part of the background patterns on the grid. The extracted shape is the one that is not being overlapped or repeated. "
ExtractObjects3, "Extract the hollow box that encompasses, overlaps or  touches the set of repeating/identically sized hollow boxes on the grid. Hollow boxes can be squares, rectangles or diamonds"
ExtractObjects4, "Extract the rectangle that is formed by connecting stripes that form the background of the grid."
ExtractObjects5, "Extract all the largest set of box shapes of the same height  (square, rectangular or diamond) that are not connected completely in an aligned manner in the grid and place them left to right in order of their appearance in the grid. "
ExtractObjects6, "Extractthe shapes on both sides ofthe yellow line that are not ofthe background colors ofthe grid and place them either right next to each other or right on top of each other depending on their relative placement inthe grid."
ExtractObjects7, "Extract the shape on either side of the separation line which spans one grid length, without a colored background, by aligning them horizontally for a vertical separation line and vertically for a horizontal separation line in a minimal bounding box."
ExtractObjects8, "Extract the shapes which are surrounded by black pixels and arrange them in the order of appearance from left to right in a minimal bounding box."
ExtractObjects9, "Extract the shape contained in a rectangle of another color in a minimal bounding box. Replace all colors that are not the color of the extracted shape with black."
ExtractObjects10, "Extract a single example of the repeating polygon. If there are many such polygons, return the polygon that has two or more colors. "
FilledNotFilled1, "Produce a single pixel in the color of the shape that is not filled, meaning that there are black pixels fully surrounded by coloured ones."
FilledNotFilled2, "Produce a completely black grid with the dimensions of the filled shape (meaning the shape that does not enclose any black pixels)."
FilledNotFilled3, "Produce a grid displaying the shape that is enclosed fully in another, differently colored shape in a minimal bounding box. The inner shape may also be black."
FilledNotFilled4, "Fill each hollow shape with the color of the shape."
FilledNotFilled5, "Fill hollow shape with the color of the shape and coloring the interior of filled shapes with the background color, leaving only a single-pixel thick boundary. "
FilledNotFilled6, "Fill hollowshapes with the color of the shape and coloring the interior of filled shapes with the background color, leaving only a single-pixel thick boundary. "
FilledNotFilled7, "Fill the gap between every pair of identical,parallel colored lines with the color of the respective lines and replacing the body of every filled rectangle with black pixels leaving only two parallel colored lines, one at the top and one at the bottom."
FilledNotFilled8, "Fill the gap between every pair of identical, parallel colored lines with the respective color, producing a rectangle and replacing the body of every filled rectangle with black pixels except the two longer sides,  leaving only two parallel colored lines."
FilledNotFilled9, "Fill container-like shapes of  two colors  (that are polygons open on one side)  in the interior color of the shape till the shape is completely filled and closed. "
FilledNotFilled10, "Fill all the interior regions of partially filled shapes by completing the started pattern of one alternating color with black."
HorizontalVertical1,"Fill each vertical hollow shape with green and each horizontal hollow shape with orange, leaving its boundary unchanged."
HorizontalVertical2,"Erase every shape with vertical stripes, and leave every shape with horizontal stripes unchanged."
HorizontalVertical3,"If repeated shapes are arranged horizontally, color the top grid edge blue; if they are arranged vertically, color the left edge blue."
HorizontalVertical4,"Recolor every horizontal red line segment green, and leave vertical red segments unchanged."
